date,link,user_logo,screenname,full_text,media,username,location,bio,url,title,description,likes,rts,user_follower_count,quoted_status_id,id
2020-01-22T18:14:34.000Z,https://twitter.com/PrisonPlanet/status/1220047117537947661,https://pbs.twimg.com/profile_images/1341881916337889280/svFuJHGb_400x400.jpg,PrisonPlanet,"Here's how Ecudaor disposes of their litter.

Greta going to be visiting Quito any time soon, or just lecturing the U.S. &amp; Europe?

https://twitter.com/gojonewsnow/status/1218235541512228864/video/1",,Paul Joseph Watson,London,"""Watson is a brilliant polemicist."" The Spectator.....”Popular cutting edge political commentator.” The Jewish Voice.",https://twitter.com/gojonewsnow/status/1218235541512228864/video/1,,,25035,10278,1206694,,1220047117537947661
2019-12-31T22:02:46.000Z,https://twitter.com/BrentBeshore/status/1212132011890003969,https://pbs.twimg.com/profile_images/1140592638413795328/AQQs0JWa_400x400.png,BrentBeshore,"@APompliano ""Any business less than five years old is one bad decision away from failing.""",,Brent Beshore,Flyover Country,"Christian // @PermanentEquity // @CapitalCamp // Author of ""The Messy Marketplace""",,,,47,3,76433,,1212132011890003969
2020-01-20T18:49:36.000Z,https://twitter.com/jdnoc/status/1219331158602850310,https://pbs.twimg.com/profile_images/1158042147955892225/HntzpCLX_400x400.jpg,jdnoc,"Don't focus on the results. Focus on effective work.

When effective work is the focus the results are inevitable.",,Jordan O'Connor,"Rochester, NY",Tweeting about the intersection of valuable skills. Founder: @closettools. Learning: @quantsecrets. Writing: http://jdnoc.com/blog,,,,31,2,7412,,1219331158602850310
2020-01-22T20:28:07.000Z,https://twitter.com/JoshDoody/status/1220080725178888193,https://pbs.twimg.com/profile_images/589458900518182913/WvyQytlV_400x400.png,JoshDoody,"I’m answering questions on @IndieHackers for the next 30 minutes or so! Drop in to ask about salary negotiation, entrepreneurship, how I make decisions, or anything else! 

https://www.indiehackers.com/post/im-a-salary-negotiation-coach-for-experienced-software-developers-going-to-big-tech-companies-ask-me-anything-d021584177",,Josh Doody,"Gainesville, FL",I help experienced Software Developers negotiate job offers from big tech companies like Google and Amazon. Learn more: http://fearlesssalarynegotiation.com/coach,https://www.indiehackers.com/post/im-a-salary-negotiation-coach-for-experienced-software-developers-going-to-big-tech-companies-ask-me-anything-d021584177,"Stripe I'm a salary negotiation coach for experienced software developers going to big tech companies, ask me anything!","Software developers get offers from companies like Google and Facebook, then we work together to negotiate the best compensation package possible. I als...",11,3,2047,,1220080725178888193
2019-05-12T18:19:16.000Z,https://twitter.com/rrhoover/status/1127639391365627904,https://pbs.twimg.com/profile_images/1289046130366406656/-s-fxoLn_400x400.jpg,rrhoover,"I wish more people worked on things they truly enjoyed. Most hate (or at best tolerate) their job.

I think about this issue often. https://twitter.com/paulg/status/1127335187485011968",,Ryan Hoover,SF ✈️ LA,"Founder of @ProductHunt, @WeekendFund investor. Real likes, no gimmicks. ✌️😸",https://twitter.com/paulg/status/1127335187485011968,,,780,76,158871,1127335187485011968,1127639391365627904
2019-05-11T22:10:28.000Z,https://twitter.com/paulg/status/1127335187485011968,https://pbs.twimg.com/profile_images/1824002576/pg-railsconf_400x400.jpg,paulg,It's hard to beat someone at something if they enjoy it and you don't. This is true for good things like writing and dancing and also for bad things like meanness and office politics.,,Paul Graham,,,,,,6354,1722,1272032,,1127335187485011968
2020-01-23T07:26:13.000Z,https://twitter.com/adam3us/status/1220246340510203904,https://pbs.twimg.com/profile_images/924365347217723392/GrGID0Uy_400x400.jpg,adam3us,people often are not aware that with @blockstream green wallet you can use a hardware wallet like @Ledger and @Trezor directly on android phones and tablets with a micro-USB otg cable. multisig 2fa+hww+mobile=🔒https://twitter.com/adam3us/status/1220229699059814400?s=20 https://twitter.com/adam3us/status/1220246340510203904/video/1,https://pbs.twimg.com/ext_tw_video_thumb/1220246203973230595/pu/img/hnbnFbI1hm681zLA.jpg,Adam Back,Malta 🇲🇹,"cypherpunk, cryptographer, privacy/ecash, inventor hashcash (used in Bitcoin mining) PhD Comp Sci http://adam3.us Co-Founder/CEO http://blockstream.com",https://twitter.com/adam3us/status/1220229699059814400?s=20,,,256,72,228029,1220229699059814400,1220246340510203904
2020-01-23T06:20:05.000Z,https://twitter.com/adam3us/status/1220229699059814400,https://pbs.twimg.com/profile_images/924365347217723392/GrGID0Uy_400x400.jpg,adam3us,"fun @blockstream green wallet multsig 2fa server doesn't learn liquid transaction types nor amounts, due to Confidential Transactions. via the magic of ZKPs it co-signs &amp; helps 2fa secure without visibity. blinding keys are known to sender &amp; recipient only http://blockstream.com/green/",,Adam Back,Malta 🇲🇹,"cypherpunk, cryptographer, privacy/ecash, inventor hashcash (used in Bitcoin mining) PhD Comp Sci http://adam3.us Co-Founder/CEO http://blockstream.com",http://blockstream.com/green/,,,275,56,228029,,1220229699059814400
2019-12-31T14:52:25.000Z,https://twitter.com/JamesClear/status/1212023711978659844,https://pbs.twimg.com/profile_images/958932211973152769/FUpkmn4u_400x400.jpg,JamesClear,"New goals don't deliver new results. New lifestyles do.

And a lifestyle is a process, not an outcome. 

For this reason, all of your energy should go into building better habits, not chasing better results.",,James Clear,,Author of the #1 NYT bestseller Atomic Habits (http://atomichabits.com). I write about building good habits. Over 1 million people read my 3-2-1 newsletter (see link),,,,8718,2945,410669,,1212023711978659844
2020-01-21T05:54:22.000Z,https://twitter.com/SwiftOnSecurity/status/1219498452587089921,https://pbs.twimg.com/profile_images/1337666327625015296/YQkdjc9n_400x400.jpg,SwiftOnSecurity,Still one of my favorite sub-heads. https://twitter.com/SwiftOnSecurity/status/1219498452587089921/photo/1,https://pbs.twimg.com/media/EOyHYLLX4AAkO34.jpg,SwiftOnSecurity,"Cyber, USA","Systems security, author http://DecentSecurity.com, http://GotPhish.com, SciFi @ http://UniversalShards.com, sysadmin, & SecEng. Microsoft MVP, Client Security 2021. they/them/tay",,,,7148,1090,320408,,1219498452587089921
2019-12-30T10:03:44.000Z,https://twitter.com/rtayar/status/1211588671394238464,https://pbs.twimg.com/profile_images/611188973323419649/0aSK3D7E_400x400.png,rtayar,"En @SomosFlat101 buscamos analistas digitales. Tenemos muchos retos en 2020 y buscamos personas curiosas, que le pongan cariño a su trabajo y que quieran aprender todos los días con un equipo top, ¿te interesa? &gt; https://www.flat101.es/empleo/analista-digital/ #empleo #analytics #trabajo 👇",,Ricardo Tayar,"Zaragoza, Madrid, Barcelona","CEO & Co-founder en http://www.flat101.es. Trabajando para mejorar negocios digitales: conversión y análisis digital, ecommerce, SEO, UX. Rock, comics y vino",https://www.flat101.es/empleo/analista-digital/,Oferta empleo Analista Digital en Flat 101 - Zaragoza / Madrid / Barcelona,"Apúntate a nuestra oferta de empleo para trabajar como analista digital en nuestra oficina de Madrid, Barcelona o Zaragoza.",27,46,18597,,1211588671394238464
2020-01-23T20:03:36.000Z,https://twitter.com/GregorySchier/status/1220436942090833928,https://pbs.twimg.com/profile_images/1290780083981103108/5acKh4E3_400x400.jpg,GregorySchier,"More companies need to actively support employee side projects and businesses 🚀

Put it in the employee agreement and mention it in job posts, interviews, and onboarding. Then, celebrate those who leave to grow something 🎉

Shout-out to @getdyspatch who implemented this ❤️ https://twitter.com/joelgascoigne/status/1220429746787573766",,Greg Schier ⛅️👨🏼‍💻🌲,Canada,"I'm an indie dev and design enthusiast:
😴 Bootstrapped @GetInsomnia (acquired 2019)
📚 Helping readers @ReadRally 
👨🏼‍🏫 Teaching @CodeSaladDev
💌 DMs open",https://twitter.com/joelgascoigne/status/1220429746787573766,,,30,7,2878,1220429746787573766,1220436942090833928
2020-01-23T19:35:00.000Z,https://twitter.com/joelgascoigne/status/1220429746787573766,https://pbs.twimg.com/profile_images/1212260099604897792/OU6OulZj_400x400.jpg,joelgascoigne,"At Buffer, we allow, even encourage, side projects / businesses. It's been beautiful to observe the positive impact of this non-zero-sum mentality.

Great example is @tiggreen (has side project making $1k/mo!). Interesting thoughts from him on the subject: https://tik.dev/dilemma",,Joel Gascoigne,"Boulder, CO","Co-founder & CEO, @Buffer. Finding my own path in business and life. Love to ski, surf, mountain bike. #BlackLivesMatter",https://tik.dev/dilemma,,,400,39,74099,,1220429746787573766
2020-01-22T10:44:48.000Z,https://twitter.com/marckohlbrugge/status/1219933929135722497,https://pbs.twimg.com/profile_images/1266846692848144385/uSDSRIi3_400x400.jpg,marckohlbrugge,"⚡️ Successful makers ship early and often.

🤔 But how? I think it comes down to confidence.

Confidence to not break your codebase. Confidence to get informed when it does happen. And confidence to then fix it.

Some ideas to increase your shipping confidence:",,Marc,"Eindhoven, Nederland","ship together on http://wip.co
hire talent on http://startup.jobs 
discover startups on http://betalist.com 
waste money on http://highscore.money 
read posts on http://marc.io",,,,148,28,28108,,1219933929135722497
2020-01-23T08:19:13.000Z,https://twitter.com/victorianoi/status/1220259677151383552,https://pbs.twimg.com/profile_images/1284026081973018624/ru_7coNK_400x400.jpg,victorianoi,@xoelipedes Check this out from @sawyerh ;) love reading all his highlights in Kindle https://medium.com/@sawyerh/how-i-export-process-and-resurface-my-kindle-highlights-addc9de9af1a,,Victoriano Izquierdo,"Madrid & Granada, Spain","Co-founder @graphext 
Data Science + Product + Business 
My newsletter @complex_facts 
💌 http://www.complexfacts.com
📷 http://victoriano.me
📷 http://instagram.com/victoriano",https://medium.com/@sawyerh/how-i-export-process-and-resurface-my-kindle-highlights-addc9de9af1a,"How I export, analyze, and resurface my Kindle highlights How I export, analyze, and resurface my Kindle highlights | by Sawyer Hollenshead | Medium","Using a serverless approach, natural language processing, and SMS My workflow for exporting my reading highlights, and how I publish those highlights to my personal website.",6,0,21586,,1220259677151383552
2020-01-24T08:32:14.000Z,https://twitter.com/Pantomima_Full/status/1220625343767248896,https://pbs.twimg.com/profile_images/874386950085595136/XKqzj-od_400x400.jpg,Pantomima_Full,"LOS JÓVENES LE VEN EN BLANCO Y NEGRO. 
Agradecimientos: #GhettoShopMadrid https://twitter.com/Pantomima_Full/status/1220625343767248896/video/1",https://pbs.twimg.com/ext_tw_video_thumb/1220625254177017857/pu/img/8-ltxWLtnMU8pvCN.jpg,Pantomima Full,"Madrid, España",Hemos perdido la contraseña de @PantomimaFull. No conseguimos recuperarla.,,,,18740,5557,265457,,1220625343767248896
2019-12-30T14:24:50.000Z,https://twitter.com/changelog/status/1211654381009063938,https://pbs.twimg.com/profile_images/1199065640331595776/BNCgPsAw_400x400.jpg,changelog,"Q: How do engineers use their holiday downtime?
A: https://twitter.com/changelog/status/1211654381009063938/video/1",https://pbs.twimg.com/ext_tw_video_thumb/1211654353758674944/pu/img/adYMWoOVwB4xlHLS.jpg,Changelog,Houston + Omaha,News & podcasts for developers (+ 🔥 memes),,,,2142,558,27322,,1211654381009063938
